C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
5.9406,-13.199,-0.13333,-2.9703,1.877,-0.06873,-4.0609,0.91503,2.0202,-2.9703,1.877,0.0,20.354,15.829,25.253,13.864,16.08,-0.06667,-2.9919,20.719,3.0569
12.871,-9.1582,-1.1333,-2.9703,5.7605,1.9931,-1.0152,0.91503,8.0808,-2.9703,5.7605,-0.98039,24.219,20.754999,27.273001,12.869,19.094999,10.933,-3.9675,16.797001,4.0325
24.752001,7.0034,7.8667,1.9802,7.7023,0.9622,5.0761,-7.9085,10.101,1.9802,7.7023,6.8627,34.847,29.622,33.333,21.823999,26.131001,23.933001,-3.9675,20.719,13.789
17.822001,12.054,7.8667,-1.9802,4.7896,-3.1615,4.0609,-8.8889,5.0505,-1.9802,4.7896,1.9608,24.219,24.695999,22.222,17.844,19.094999,17.933001,1.8862,13.856,15.74
-6.9307,-5.1178,-12.133,-6.9307,-1.0356,-14.502,-9.1371,-15.752,0.0,-6.9307,-1.0356,-9.8039,-11.53,-7.8161,-17.172001,-9.0216,-12.06,-4.0667,-2.9919,-15.556,-5.7236
-18.812,-15.219,-23.132999,-15.842,-5.89,-18.625,-13.198,-21.634001,0.0,-15.842,-5.89,-18.627001,-32.785999,-25.549999,-34.342999,-26.931999,-30.150999,-11.067,-6.8943,-29.281,-14.504
-9.901,-8.1481,-15.133,-11.881,-2.9773,-16.563999,-9.1371,-22.614,5.0505,-11.881,-2.9773,-9.8039,-29.886999,-21.608999,-32.323002,-24.941999,-29.146,0.93333,3.8374,-25.358999,-7.6748
-2.9703,-3.0976,-4.1333,-8.9109,-1.0356,-8.3162,-1.0152,-15.752,4.0404,-8.9109,-1.0356,-1.9608,-21.191999,-19.639,-22.222,-24.941999,-25.125999,-5.0667,2.8618,-11.634,-6.6992
-3.9604,-8.1481,-4.1333,-5.9406,0.90615,-8.3162,-3.0457,-7.9085,1.0101,-5.9406,0.90615,0.0,-20.225,-21.608999,-16.162001,-28.922001,-27.136,-12.067,-11.772,-0.84967,-9.626
-13.861,-13.199,-12.133,-13.861,-5.89,-16.563999,-8.1218,-14.771,-4.0404,-13.861,-5.89,-10.784,-10.564,-9.7865,-5.0505,-21.957001,-21.106001,1.9333,-13.724,13.856,-4.748
-15.842,-9.1582,-12.133,-16.832001,-8.8026,-22.749001,-11.168,-20.653999,-3.0303,-16.832001,-8.8026,-12.745,9.7262,4.9918,9.0909,-4.0464,-6.0302,8.9333,-3.9675,25.621,7.935
-11.881,-7.138,-7.1333,-15.842,-6.8608,-17.594999,-12.183,-16.732,-5.0505,-15.842,-6.8608,-11.765,23.253,12.874,16.162001,9.8839,6.0302,0.93333,-5.9187,29.542,13.789
-2.9703,-10.168,-7.1333,-10.891,-5.89,-11.409,-15.228,-6.9281,-7.0707,-10.891,-5.89,-10.784,27.118,15.829,19.191999,16.849001,10.05,3.9333,-8.8455,27.582001,15.74
8.9109,-2.0875,-5.1333,-8.9109,-6.8608,-7.2852,-12.183,-5.9477,-4.0404,-8.9109,-6.8608,-8.8235,33.881001,32.577999,24.242001,27.794001,16.08,25.933001,2.8618,28.562,26.472
14.851,9.0236,-3.1333,-9.901,-6.8608,-9.3471,-10.152,-4.9673,-3.0303,-9.901,-6.8608,-8.8235,44.508999,46.370998,28.283001,34.759998,22.111,23.933001,6.7642,31.503,36.228001
10.891,7.0034,-5.1333,-11.881,-7.8317,-13.471,-14.213,-8.8889,-5.0505,-11.881,-7.8317,-12.745,30.016001,37.504002,18.181999,26.799,17.084999,8.9333,0.91057,14.837,27.447001
6.9307,5.9933,-4.1333,-10.891,-4.9191,-9.3471,-12.183,-7.9085,-6.0606,-10.891,-4.9191,-10.784,5.8615,16.813999,7.0707,15.854,11.055,-1.0667,1.8862,-0.84967,12.813
0.9901,-1.0774,-5.1333,-9.901,-4.9191,-10.378,-12.183,-10.85,-4.0404,-9.901,-4.9191,-10.784,-26.023001,-20.624001,-12.121,-5.0415,-3.0151,1.9333,-1.0407,-24.379,-12.553
0.9901,-1.0774,-2.1333,-7.9208,-5.89,-3.1615,-6.0914,-8.8889,-1.0101,-7.9208,-5.89,-5.8824,-34.717999,-38.358002,-15.152,-18.972,-8.0402,16.933001,-1.0407,-25.358999,-28.163
6.9307,7.0034,8.8667,0.9901,-1.0356,10.241,8.1218,-1.0458,3.0303,0.9901,-1.0356,10.784,-20.225,-25.549999,-9.0909,-16.982,-6.0302,-0.06667,-2.0163,-12.614,-24.26
0.0,9.0236,10.867,-3.9604,-3.9482,13.333,14.213,-0.06536,0.0,-3.9604,-3.9482,12.745,-15.395,-11.757,-12.121,-14.992,-9.0452,-5.0667,-3.9675,-5.7516,-15.48
-5.9406,-1.0774,4.8667,-5.9406,-7.8317,-0.06873,3.0457,-11.83,-4.0404,-5.9406,-7.8317,6.8627,-16.361,-11.757,-16.162001,-14.992,-16.08,-3.0667,-8.8455,-3.7908,-7.6748
0.0,-7.138,-0.13333,-5.9406,-4.9191,-2.1306,-4.0609,-9.8693,-3.0303,-5.9406,-4.9191,-0.98039,-11.53,-8.8013,1.0101,-9.0216,-11.055,-4.0667,-8.8455,9.9346,2.0813
14.851,-3.0976,2.8667,0.9901,-0.06472,5.0859,-1.0152,-0.06536,1.0101,0.9901,-0.06472,3.9216,-2.8341,-2.89,19.191999,4.9088,2.0101,9.9333,0.91057,20.719,11.837
11.881,-6.1279,-5.1333,-4.9505,-1.0356,-3.1615,-2.0305,-4.9673,2.0202,-4.9505,-1.0356,-5.8824,1.9968,-0.91954,22.222,6.8988,4.0201,18.933001,-0.06504,19.739,9.8862
2.9703,-5.1178,-13.133,-8.9109,-6.8608,-17.594999,-12.183,-13.791,0.0,-8.9109,-6.8608,-14.706,6.8277,4.9918,18.181999,9.8839,5.0251,-3.0667,-2.0163,14.837,8.9106
-0.9901,-0.06734,-13.133,-6.9307,-5.89,-16.563999,-13.198,-12.81,1.0101,-6.9307,-5.89,-17.646999,18.422001,13.859,21.212,14.859,12.06,-10.067,1.8862,14.837,9.8862
8.9109,8.0135,-5.1333,2.9703,-2.9773,-3.1615,-9.1371,3.8562,2.0202,2.9703,-2.9773,-6.8627,29.049999,23.711,27.273001,20.829,19.094999,5.9333,8.7154,18.757999,11.837
3.9604,3.9731,-7.1333,0.0,-3.9482,-4.1924,-12.183,1.8954,1.0101,0.0,-3.9482,-9.8039,15.523,11.888,15.152,10.879,11.055,6.9333,3.8374,6.0131,-0.84553
0.0,3.9731,-4.1333,-0.9901,0.90615,-10.378,-9.1371,-10.85,9.0909,-0.9901,0.90615,-7.8431,0.06441,-2.89,3.0303,0.92869,4.0201,2.9333,-0.06504,-9.6732,-10.602
4.9505,10.034,4.8667,3.9604,6.7314,-4.1924,5.0761,-9.8693,16.162001,3.9604,6.7314,2.9412,-7.6651,-8.8013,-2.0202,-3.0514,3.0151,1.9333,6.7642,-17.516001,-11.577
4.9505,11.044,10.867,0.9901,4.7896,-1.0997,8.1218,-1.0458,16.162001,0.9901,4.7896,4.902,-12.496,-11.757,-3.0303,-9.0216,0.0,0.93333,10.667,-17.516001,-17.431
2.9703,2.963,8.8667,-0.9901,1.877,-3.1615,5.0761,-5.9477,15.152,-0.9901,1.877,4.902,-21.191999,-22.594,-10.101,-18.972,-9.0452,-10.067,10.667,-18.497,-26.211
