C3,C4,Cz,F1,F2,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-7.6461,-11.365,-0.91057,-10.732,-11.823,-8.0,-5.7971,-2.0065,-1.0407,-10.732,-11.823,-7.8818,-6.6667,-21.016001,1.0159,-14.423,-4.7665,-3.0274,-7.4566,-0.98522,-19.358999
-9.5419,-9.4603,0.06504,-7.8049,-9.8522,-8.9756,-4.8309,-7.8317,-0.06504,-7.8049,-9.8522,-6.8966,-9.5238,-17.205999,-1.8413,-11.538,-4.7665,-8.8245,0.12638,-7.8818,-14.551
-7.6461,-9.4603,2.0163,-7.8049,-5.9113,-7.0244,-3.8647,-10.744,-0.06504,-7.8049,-5.9113,-3.9409,-6.6667,-12.444,-1.8413,-8.6538,-1.868,-5.9259,8.6572,-5.9113,-7.8205
-4.8025,-3.746,4.9431,-5.8537,-0.98522,-3.122,1.9324,-8.8026,-0.06504,-5.8537,-0.98522,0.0,-3.8095,-8.6349,0.06349,-4.8077,1.9968,-7.8583,-2.7172,-3.9409,-3.0128
-3.8547,2.9206,7.8699,-6.8293,-0.98522,-5.0732,0.96618,-10.744,0.91057,-6.8293,-0.98522,0.98522,-1.9048,-7.6825,1.0159,-0.96154,3.9291,-16.554001,-4.613,-1.9704,-2.0513
-6.6983,1.0159,2.9919,-14.634,-7.8818,-8.9756,-6.7633,-19.482,-3.9675,-14.634,-7.8818,-2.9557,-8.5714,-10.54,-3.746,-4.8077,-0.90177,-23.316999,0.12638,-6.8966,-7.8205
-4.8025,6.7302,5.9187,-21.462999,-19.704,0.78049,3.8647,-26.278,-1.0407,-21.462999,-19.704,1.9704,-5.7143,-6.7302,-2.7937,-1.9231,1.0306,-17.52,2.0221,-5.9113,-6.859
-2.9068,9.5873,7.8699,-14.634,-5.9113,-8.9756,6.7633,-18.511,2.8618,-14.634,-5.9113,2.9557,-0.95238,-5.7778,1.0159,1.9231,2.963,-23.316999,9.6051,-1.9704,-2.0513
-1.9589,8.6349,7.8699,-8.7805,3.9409,-11.902,6.7633,-9.7735,4.813,-8.7805,3.9409,1.9704,0.95238,-1.9683,1.9683,2.8846,3.9291,-17.52,19.084,-5.9113,3.7179
-1.0111,18.159,10.797,-9.7561,-0.98522,-6.0488,7.7295,-15.599,7.7398,-9.7561,-0.98522,3.9409,1.9048,4.6984,2.9206,8.6538,5.8615,-14.622,13.397,-6.8966,7.5641
