C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fz,O1,O2,P3,P4,Pz,T3,T4,T5,T6
-16.814,-15.075,-11.023,-16.57,-20.558,-14.141,-22.309,-19.9,-14.837,-12.871,-14.706,-16.898,-17.686,-15.075,-13.266,-9.1371,-19.167,-15.142,-20.624
-20.755,-17.085,-13.993,-17.54,-22.529,-18.182,-26.211,-21.891,-13.856,-13.861,-17.647,-18.878,-19.758,-17.085,-15.296,-12.183,-23.974,-19.162,-25.55
-19.77,-19.095,-16.964,-17.54,-21.544,-21.212,-23.285,-20.896,-15.817,-16.832,-18.627,-20.858,-20.794,-19.095,-19.357,-13.198,-24.936,-19.162,-26.535
-17.8,-21.106,-19.934,-16.57,-20.558,-20.202,-16.455,-19.9,-13.856,-19.802,-19.608,-20.858,-19.758,-21.106,-22.403,-12.183,-23.974,-18.157,-23.58
-18.785,-23.116,-22.904,-18.511,-21.544,-22.222,-12.553,-19.9,-14.837,-22.772,-20.588,-22.838,-18.722,-23.116,-24.433,-14.213,-23.974,-19.162,-21.609
-20.755,-24.121,-23.894,-18.511,-22.529,-23.232,-15.48,-18.905,-15.817,-23.762,-21.569,-23.828,-21.831,-24.121,-24.433,-16.244,-23.013,-23.183,-21.609
-22.726,-27.136,-24.884,-18.511,-25.484,-24.242,-21.333,-20.896,-17.778,-24.752,-22.549,-25.809,-23.903,-25.126,-24.433,-16.244,-25.897,-25.193,-24.565
-20.755,-27.136,-24.884,-16.57,-29.425,-23.232,-24.26,-18.905,-20.719,-23.762,-21.569,-24.818,-22.867,-24.121,-25.448,-15.228,-26.859,-18.157,-26.535
-20.755,-26.131,-24.884,-17.54,-29.425,-24.242,-26.211,-17.91,-20.719,-23.762,-23.529,-24.818,-22.867,-24.121,-26.464,-16.244,-27.821,-22.178,-27.521
-21.741,-25.126,-22.904,-16.57,-27.455,-22.222,-25.236,-17.91,-16.797,-23.762,-20.588,-24.818,-23.903,-23.116,-26.464,-14.213,-27.821,-25.193,-27.521
-22.726,-23.116,-22.904,-15.599,-21.544,-18.182,-21.333,-18.905,-14.837,-24.752,-19.608,-24.818,-22.867,-24.121,-25.448,-13.198,-23.974,-24.188,-25.55
-22.726,-22.111,-24.884,-16.57,-15.632,-20.202,-18.407,-19.9,-15.817,-23.762,-19.608,-24.818,-23.903,-26.131,-27.479,-15.228,-21.09,-17.152,-23.58
-19.77,-18.09,-26.865,-16.57,-11.691,-22.222,-13.528,-19.9,-15.817,-20.792,-21.569,-21.848,-20.794,-23.116,-27.479,-16.244,-16.282,-14.137,-15.698
-22.726,-22.111,-32.805,-20.453,-14.647,-30.303,-16.455,-21.891,-20.719,-26.733,-28.431,-22.838,-28.048,-25.126,-32.555,-20.305,-18.205,-20.168,-15.698
-29.622,-27.136,-35.776,-23.366,-22.529,-31.313,-21.333,-25.871,-24.641,-32.673,-32.353,-26.799,-34.266,-29.146,-35.601,-19.289,-23.013,-25.193,-19.639
-27.652,-21.106,-26.865,-18.511,-22.529,-25.253,-19.382,-21.891,-19.739,-27.723,-25.49,-20.858,-31.157,-22.111,-27.479,-16.244,-19.167,-25.193,-17.668
-22.726,-17.085,-18.944,-14.628,-20.558,-18.182,-16.455,-18.905,-15.817,-22.772,-19.608,-15.908,-22.867,-16.08,-18.342,-14.213,-17.244,-24.188,-17.668
-18.785,-17.085,-17.954,-12.686,-21.544,-18.182,-15.48,-17.91,-12.876,-21.782,-17.647,-15.908,-20.794,-16.08,-16.311,-13.198,-16.282,-21.173,-19.639
-16.814,-21.106,-19.934,-11.715,-22.529,-20.202,-13.528,-13.93,-11.895,-22.772,-18.627,-16.898,-19.758,-19.095,-17.327,-12.183,-17.244,-21.173,-20.624
-16.814,-24.121,-20.924,-13.657,-23.514,-21.212,-13.528,-15.92,-7.9739,-21.782,-19.608,-18.878,-19.758,-23.116,-18.342,-14.213,-22.051,-18.157,-20.624
-16.814,-20.101,-15.974,-14.628,-18.588,-19.192,-13.528,-18.905,-10.915,-15.842,-17.647,-17.888,-16.649,-21.106,-18.342,-15.228,-20.128,-12.127,-18.654
-12.874,-13.065,-10.033,-12.686,-9.7209,-15.152,-12.553,-16.915,-14.837,-9.901,-13.725,-14.917,-13.541,-15.075,-14.281,-12.183,-15.321,-8.1072,-15.698
-11.888,-14.07,-11.023,-13.657,-9.7209,-17.172,-16.455,-13.93,-18.758,-11.881,-14.706,-15.908,-14.577,-15.075,-14.281,-14.213,-14.359,-10.117,-15.698
-14.844,-17.085,-16.964,-15.599,-13.662,-21.212,-20.358,-14.925,-21.699,-16.832,-17.647,-17.888,-15.613,-18.09,-18.342,-18.274,-15.321,-19.162,-16.683
